00#00##0000#KŘP HL. M. PRAHY#0#0
00#00#00#000000#ETŘ KŘPA#0#0
00#00#05#000005#ODB. VYŠETŘOVÁNÍ DN SKPV KŘPA#0#0
00#00#06#000006#ODN KŘPA#0#0
00#00#07#000007#ODD. ŘÍZENÍ DOPRAVY KŘPA#0#0
00#00#50#000050#ODD. DOPROVODU VLAKŮ KŘPA#0#0
00#00#54#000054#METRO PRAHA#0#0
00#00#57#000057#POŘÍČNÍ ODD. PRAHA#0#0
00#00#65#000065#PMJ KŘPA#0#0
00#00#66#000066#OVK KŘPA#0#0
00#00#68#000068#ODD. SLUŽEBNÍ HIPOLOGIE KŘPA#0#0
00#00#70#000070#OOK - SKPV KŘPA#0#0
00#00#71#000071#OOK - 1.ODD. KŘPA#0#0
00#00#72#000072#OOK - 2.ODD. KŘPA#0#0
00#00#73#000073#OOK - 3.ODD. KŘPA#0#0
00#00#74#000074#OOK - 4.ODD. KŘPA#0#0
00#00#75#000075#OOK - 5.ODD. KŘPA#0#0
00#00#76#000076#OOK - 6.ODD. KŘPA#0#0
00#00#77#000077#OOK - 7.ODD. KŘPA#0#0
00#00#86#000086#ODD. PROTIDROGOVÉ OOZOK KŘPA#0#0
00#00#88#000088#ODD. EXTREMISMU OOZOK KŘPA#0#0
00#00#90#000090#OHK - SKPV KŘPA#0#0
00#00#91#000091#OHK - 1.ODD. KŘPA#0#0
00#00#92#000092#OHK - 2.ODD. KŘPA#0#0
00#00#93#000093#OHK - 3.ODD. KŘPA#0#0
00#00#94#000094#OHK - 4.ODD. KŘPA#0#0
00#00#95#000095#OHK - 5.ODD. KŘPA#0#0
00#00#96#000096#OHK - 6.ODD. KŘPA#0#0
00#00#97#000097#OHK - 7.ODD. KŘPA#0#0
00#00#98#000098#OHK - 8.ODD. KŘPA#0#0
00#11##0011#OŘP PRAHA I.#0#0
00#11#05#001105#ETŘ OŘP PRAHA I.#0#0
00#11#06#001106#DI OŘP PRAHA I.#0#0
00#11#10#001110#MOP BARTOLOMĚJSKÁ PRAHA I.#1#1
00#11#11#001111#MOP BENEDIKTSKÁ PRAHA I.#1#1
00#11#12#001112#MOP MALÁ STRANA PRAHA I.#1#1
00#11#13#001113#MOP MŮSTEK PRAHA I.#0#0
00#11#14#001114#MOP KRAKOVSKÁ PRAHA I.#1#1
00#11#15#001115#MOP BŘEVNOV PRAHA I.#1#1
00#11#16#001116#MOP DEJVICE PRAHA I.#1#1
00#11#17#001117#MOP VOKOVICE PRAHA I.#1#1
00#11#18#001118#MOP ŘEPY PRAHA I.#1#1
00#11#19#001119#MOP RUZYNĚ PRAHA I.#1#1
00#11#20#001120#MOP HOLEŠOVICE PRAHA I.#1#1
00#11#21#001121#MOP LETNÁ PRAHA I.#1#1
00#11#22#001122#MOP VÝSTAVIŠTĚ PRAHA I.#1#1
00#11#50#001150#OŽP - MASARYKOVO NÁDRAŽÍ PRAHA I.#1#1
00#11#51#001151#OŽP - HOLEŠOVICE PRAHA I.#1#1
00#11#57#001157#SVK PRAHA I.#0#0
00#11#63#001163#ODD. HLÍDKOVÉ SL. PRAHA I.#0#0
00#11#70#001170#OOK - SKPV OŘP PI.#0#0
00#11#71#001171#OOK - 1.ODD. OŘP PI.#0#0
00#11#72#001172#OOK - 2.ODD. OŘP PI.#0#0
00#11#73#001173#OOK - 3.ODD. OŘP PI.#0#0
00#11#74#001174#OOK - 4.ODD. OŘP PI.#0#0
00#11#75#001175#OOK - 5.ODD. OŘP PI.#0#0
00#11#76#001176#OOK - 6.ODD. OŘP PI.#0#0
00#11#77#001177#OOK - 7.ODD. OŘP PI.#0#0
00#11#78#001178#OOK - 8.ODD. OŘP PI.#0#0
00#11#79#001179#OOK - 9.ODD. OŘP PI.#0#0
00#11#80#001180#OOK - 10.ODD. OŘP PI.#0#0
00#11#90#001190#OHK - SKPV OŘ PRAHA I.#0#0
00#11#91#001191#OHK - 1.ODD. PRAHA I.#0#0
00#11#92#001192#OHK - 2.ODD. PRAHA I.#0#0
00#11#93#001193#OHK - 3.ODD. PRAHA I.#0#0
00#12##0012#OŘP PRAHA II.#0#0
00#12#02#001202#SKPV OŘP PRAHA II. - OOK#0#0
00#12#03#001203#SKPV OŘP II. - OHK#0#0
00#12#04#001204#SKPV OŘP II. - DTS#0#0
00#12#05#001205#ETŘ OŘP PRAHA II.#0#0
00#12#06#001206#DI OŘP PRAHA II.#0#0
00#12#10#001210#MOP NOVÉ MĚSTO OŘP II.#1#1
