19#41#30#ICP LETIŠTĚ KARLOVY VARY#1#0
07#41#70#ICP LETIŠTĚ MOŠNOV#1#0
17#41#50#ICP LETIŠTĚ PARDUBICE#1#0
00#41#10#ICP LETIŠTĚ RUZYNĚ#1#1
06#41#60#ICP LETIŠTĚ TUŘANY#1#0
00#12#14#MOP BARRANDOV OŘP II.#1#1
00#11#10#MOP BARTOLOMĚJSKÁ PRAHA I.#1#1
00#11#11#MOP BENEDIKTSKÁ PRAHA I.#1#1
00#13#15#MOP BOHNICE PRAHA III.#1#1
00#11#15#MOP BŘEVNOV PRAHA I.#1#1
00#11#16#MOP DEJVICE PRAHA I.#1#1
00#11#20#MOP HOLEŠOVICE PRAHA I.#1#1
00#13#21#MOP HORNÍ POČERNICE PRAHA III.#1#1
00#14#18#MOP HOSTIVAŘ PRAHA IV.#1#1
00#13#10#MOP JAROV PRAHA III.#1#1
00#14#15#MOP JIŽNÍ MĚSTO 1 PRAHA IV.#1#1
00#14#16#MOP JIŽNÍ MĚSTO 2 PRAHA IV.#1#1
00#13#12#MOP KARLÍN PRAHA III.#1#1
00#13#13#MOP KOBYLISY PRAHA III.#1#1
00#12#12#MOP KOŠÍŘE OŘP II.#1#1
00#11#14#MOP KRAKOVSKÁ PRAHA I.#1#1
00#13#18#MOP KYJE PRAHA III.#1#1
00#11#21#MOP LETNÁ PRAHA I.#1#1
00#13#22#MOP LETŇANY PRAHA III.#1#1
00#14#11#MOP LHOTKA PRAHA IV.#1#1
00#13#14#MOP LIBEŇ PRAHA III.#1#1
00#11#12#MOP MALÁ STRANA PRAHA I.#1#1
00#14#10#MOP MODŘANY PRAHA IV.#1#1
00#12#10#MOP NOVÉ MĚSTO OŘP II.#1#1
00#14#14#MOP NUSLE PRAHA IV.#1#1
00#14#17#MOP PANKRÁC PRAHA IV.#1#1
00#14#12#MOP PODOLÍ PRAHA IV.#1#1
00#13#19#MOP PROSEK PRAHA III.#1#1
00#12#15#MOP RADOTÍN OŘP II.#1#1
00#11#19#MOP RUZYNĚ PRAHA I.#1#1
00#12#13#MOP SMÍCHOV OŘP II.#1#1
00#12#51#MOP SMÍCHOVSKÉ NÁDRAŽÍ#1#1
00#14#13#MOP SPOŘILOV PRAHA IV.#1#1
00#12#16#MOP STODŮLKY OŘP II.#1#1
00#14#20#MOP STRAŠNICE PRAHA IV.#1#1
00#14#22#MOP UHŘINĚVES PRAHA IV.#1#1
00#12#11#MOP VINOHRADY OŘP II.#1#1
00#11#17#MOP VOKOVICE PRAHA I.#1#1
00#14#19#MOP VRŠOVICE PRAHA IV.#1#1
00#13#20#MOP VYSOČANY PRAHA III.#1#1
00#11#22#MOP VÝSTAVIŠTĚ PRAHA I.#1#1
00#12#50#MOP WILSONOVO NÁDRAŽÍ#1#1
00#14#21#MOP ZAHRADNÍ MĚSTO PRAHA IV.#1#1
00#12#17#MOP ZLIČÍN OŘP II.#1#1
00#13#23#MOP ÚJEZD NAD LESY PRAHA III.#1#1
00#13#17#MOP ČAKOVICE PRAHA III.#1#1
00#13#16#MOP ĎÁBLICE PRAHA III.#1#1
00#11#18#MOP ŘEPY PRAHA I.#1#1
00#13#11#MOP ŽIŽKOV PRAHA III.#1#1
19#02#10#OOP AŠ#1#0
02#08#10#OOP BECHYNĚ#1#0
01#01#10#OOP BENEŠOV#1#1
04#02#10#OOP BENEŠOV NAD PLOUČNICÍ#1#0
01#07#12#OOP BENÁTKY NAD JIZEROU#1#0
01#02#10#OOP BEROUN#1#1
19#03#10#OOP BEČOV NAD TEPLOU#1#0
06#01#11#OOP BLANSKO#1#1
06#18#11#OOP BLANSKO#1#1
02#07#11#OOP BLATNÁ#1#0
03#06#10#OOP BLOVICE#1#0
03#11#10#OOP BLOVICE#1#0
19#03#11#OOP BOCHOV#1#0
07#03#17#OOP BOHUMÍN#1#1
15#11#11#OOP BOJKOVICE#1#0
03#10#11#OOP BOR U TACHOVA#1#0
02#01#14#OOP BORŠOV NAD VLTAVOU#1#0
06#01#12#OOP BOSKOVICE#1#0
06#18#12#OOP BOSKOVICE#1#0
01#15#10#OOP BRANDÝS NAD LABEM STARÁ BOLESLAV#1#0
06#02#19#OOP BRNO - BYSTRC#1#1
06#02#16#OOP BRNO - KOMÁROV#1#1
06#02#14#OOP BRNO - KRÁLOVO POLE#1#1
06#02#12#OOP BRNO - SEVER#1#1
06#02#10#OOP BRNO - STŘED#1#1
06#02#18#OOP BRNO - VÝSTAVIŠTĚ#1#1
06#02#11#OOP BRNO - ŽABOVŘESKY#1#1
06#02#13#OOP BRNO - ŽIDENICE#1#1
05#05#10#OOP BROUMOV#1#0
07#01#10#OOP BRUNTÁL#1#1
07#02#11#OOP BRUŠPERK#1#0
15#11#12#OOP BUCHLOVICE#1#0
06#12#11#OOP BUČOVICE#1#0
06#18#17#OOP BUČOVICE#1#0
16#14#10#OOP BYSTŘICE NAD PERNŠTEJNEM#1#0
15#08#10#OOP BYSTŘICE POD HOSTÝNEM#1#0
06#06#10#OOP BZENEC#1#0
04#09#10#OOP BÍLINA#1#0
07#04#10#OOP BÍLOVEC#1#0
01#07#11#OOP BĚLÁ POD BEZDĚZEM#1#0
06#04#10#OOP BŘECLAV#1#1
01#11#10#OOP BŘEZNICE#1#0
04#03#10#OOP BŘEZNO#1#0
19#02#13#OOP CHEB - MĚSTO#1#1
19#02#20#OOP CHEB - VENKOV#1#1
04#10#10#OOP CHLUMEC#1#0
05#02#12#OOP CHLUMEC NAD CIDLINOU#1#0
17#11#11#OOP CHOCEŇ#1#0
19#09#13#OOP CHODOV#1#1
04#03#21#OOP CHOMUTOV - KAMENNÁ#1#1
04#03#23#OOP CHOMUTOV - ČERNOVICKÁ#1#1
04#03#11#OOP CHOMUTOV-MĚSTO#1#1
16#16#13#OOP CHOTĚBOŘ#1#0
17#03#12#OOP CHRAST#1#0
18#05#13#OOP CHRASTAVA#1#0
17#03#13#OOP CHRUDIM#1#1
03#07#10#OOP CHRÁST#1#0
17#06#15#OOP CHVALETICE#1#0
02#08#12#OOP CHÝNOV#1#0
18#01#10#OOP CVIKOV#1#0
02#03#10#OOP DAČICE#1#0
01#07#14#OOP DOBROVICE#1#0
05#07#10#OOP DOBRUŠKA#1#0
03#06#11#OOP DOBŘANY#1#0
03#11#11#OOP DOBŘANY#1#0
01#11#12#OOP DOBŘÍŠ#1#0
18#01#12#OOP DOKSY#1#0
03#01#11#OOP DOMAŽLICE#1#1
04#09#11#OOP DUBÍ#1#0
06#06#12#OOP DUBŇANY#1#0
04#09#12#OOP DUCHCOV#1#0
05#10#11#OOP DVŮR KRÁLOVÉ NAD LABEM#1#0
07#03#20#OOP DĚTMAROVICE#1#0
04#02#36#OOP DĚČÍN - MĚSTO#1#1
04#02#13#OOP DĚČÍN - PODMOKLY#1#1
19#02#11#OOP FRANTIŠKOVY LÁZNĚ#1#0
07#04#11#OOP FRENŠTÁT POD RADHOŠTĚM#1#1
15#05#11#OOP FRYŠTÁK#1#0
07#02#14#OOP FRÝDEK MÍSTEK#1#1
18#05#11#OOP FRÝDLANT#1#0
07#02#15#OOP FRÝDLANT NAD OSTRAVICÍ#1#1
07#04#12#OOP FULNEK#1#0
16#16#10#OOP GOLČŮV JENÍKOV#1#0
19#09#11#OOP HABARTOV#1#0
14#09#10#OOP HANUŠOVICE#1#0
18#11#18#OOP HARRACHOV#1#1
16#16#12#OOP HAVLÍČKŮV BROD#1#1
07#03#12#OOP HAVÍŘOV 1#1#1
07#03#13#OOP HAVÍŘOV 2#1#1
07#03#21#OOP HAVÍŘOV 3#1#1
18#05#12#OOP HEJNICE#1#0
17#03#10#OOP HEŘMANŮV MĚSTEC#1#0
17#03#11#OOP HLINSKO#1#0
02#01#13#OOP HLUBOKÁ NAD VLTAVOU#1#0
07#06#12#OOP HLUČÍN#1#1
07#02#16#OOP HNOJNÍK#1#0
18#05#26#OOP HODKOVICE NAD MOHELKOU#1#0
06#06#13#OOP HODONÍN#1#1
15#08#11#OOP HOLEŠOV#1#0
17#06#12#OOP HOLICE V ČECHÁCH#1#0
05#02#16#OOP HOLOHLAVY#1#0
03#01#12#OOP HOLÝŠOV#1#0
03#04#11#OOP HORAŽĎOVICE#1#0
07#01#12#OOP HORNÍ BENEŠOV#1#0
15#15#10#OOP HORNÍ BEČVA#1#0
15#15#11#OOP HORNÍ LIDEČ#1#0
02#02#13#OOP HORNÍ PLANÁ#1#0
01#06#18#OOP HORNÍ POČAPLY#1#1
19#09#12#OOP HORNÍ SLAVKOV#1#0
07#03#14#OOP HORNÍ SUCHÁ#1#0
02#06#18#OOP HORNÍ VLTAVICE#1#0
03#01#13#OOP HORŠOVSKÝ TÝN#1#0
05#10#12#OOP HOSTINNÉ#1#0
01#16#21#OOP HOSTIVICE#1#0
01#12#11#OOP HOŘESEDLY#1#0
05#04#10#OOP HOŘICE#1#0
01#02#11#OOP HOŘOVICE#1#0
05#02#10#OOP HRADEC KRÁLOVÉ 1#1#1
05#02#11#OOP HRADEC KRÁLOVÉ 2#1#1
05#02#18#OOP HRADEC KRÁLOVÉ 3#1#1
07#06#13#OOP HRADEC NAD MORAVICÍ#1#0
01#14#22#OOP HRADIŠTKO#1#0
14#08#11#OOP HRANICE#1#1
05#05#13#OOP HRONOV#1#0
16#10#11#OOP HROTOVICE#1#0
06#13#10#OOP HRUŠOVANY NAD JEVIŠOVKOU#1#0
03#08#10#OOP HRÁDEK#1#0
18#05#20#OOP HRÁDEK NAD NISOU#1#0
15#08#12#OOP HULÍN#1#0
16#17#12#OOP HUMPOLEC#1#0
06#04#12#OOP HUSTOPEČE#1#0
04#02#15#OOP HŘENSKO#1#0
06#03#12#OOP IVANČICE#1#0
18#04#10#OOP JABLONEC NAD NISOU#1#1
18#04#11#OOP JABLONEC NAD NISOU - MŠENO#1#0
18#01#21#OOP JABLONNÉ V PODJEŠTĚDÍ#1#0
